City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,saint anthony,45.0205,-93.218,68.32,84,90,5.75,US,1633652145
171,saldanha,-33.0117,17.9442,57.25,92,29,14.81,ZA,1633652146
172,wukari,7.85,9.7833,74.97,91,93,2.17,NG,1633652146
173,esperance,-33.8667,121.9,58.8,71,100,16.4,AU,1633651585
174,malamig,12.95,121.3667,82.22,70,97,0.83,PH,1633652147
175,nizwa,22.9333,57.5333,79.9,56,0,1.25,OM,1633652147
176,kloulklubed,7.0419,134.2556,75.7,78,100,24.16,PW,1633652148
177,muros,42.7762,-9.0603,64.83,76,65,4.79,ES,1633652148
178,nova odesa,47.3078,31.7851,42.66,38,6,12.93,UA,1633652149
179,margate,51.3813,1.3862,60.96,92,100,1.99,GB,1633652149
180,una,20.8167,71.0333,81.14,77,35,3.51,IN,1633652150
181,kieta,-6.2167,155.6333,86.38,64,76,6.2,PG,1633652151
182,rio grande,-32.035,-52.0986,52.95,70,2,8.5,BR,1633652151
183,saskylakh,71.9167,114.0833,-2.52,99,33,3.58,RU,1633652152
184,georgetown,5.4112,100.3354,80.89,90,20,0.0,MY,1633651907
185,bambous virieux,-20.3428,57.7575,68.25,94,75,8.05,MU,1633652153
186,dingle,10.9995,122.6711,78.19,86,100,0.89,PH,1633652153
187,port lincoln,-34.7333,135.8667,59.85,51,100,13.24,AU,1633652107
188,carnarvon,-24.8667,113.6333,66.27,59,0,24.16,AU,1633652154
189,hilo,19.7297,-155.09,82.13,75,1,10.36,US,1633652154
190,padang,-0.9492,100.3543,75.25,81,100,2.57,ID,1633652155
191,yuncheng,35.0231,110.9928,56.97,82,73,5.61,CN,1633652155
192,ostrovnoy,68.0531,39.5131,42.57,70,100,20.65,RU,1633652156
193,nipawin,53.3668,-104.0009,53.64,32,1,5.75,CA,1633652156
194,rovaniemi,66.5,25.7167,35.01,100,0,4.61,FI,1633652157
195,sawtell,-30.3833,153.1,72.19,62,40,8.99,AU,1633652158
196,kristianstad,56.0313,14.1524,44.85,100,90,0.0,SE,1633652158
197,ribeira grande,38.5167,-28.7,69.98,70,3,6.29,PT,1633652159
198,pilar,-9.5972,-35.9567,75.13,88,72,3.36,BR,1633652159
199,mtwara,-10.2667,40.1833,71.65,90,6,8.1,TZ,1633652159
200,sept-iles,50.2001,-66.3821,50.05,77,91,3.0,CA,1633651964
201,tabou,4.423,-7.3528,77.4,87,97,7.11,CI,1633652160
202,auki,-8.7676,160.7034,86.13,66,15,5.21,SB,1633652118
203,manzanillo,20.3433,-77.1167,80.56,76,95,7.36,CU,1633652161
204,abha,18.2164,42.5053,64.65,55,0,0.0,SA,1633651923
205,pisco,-13.7,-76.2167,62.65,82,0,23.02,PE,1633652161
206,alamogordo,32.8995,-105.9603,81.41,29,1,5.01,US,1633652162
207,olafsvik,64.8945,-23.7142,44.58,88,100,32.48,IS,1633652162
208,olinda,-8.0089,-34.8553,78.24,74,95,13.02,BR,1633651872
209,ponta do sol,32.6667,-17.1,71.13,78,21,1.54,PT,1633652164
210,dondo,-19.6094,34.7431,71.11,83,19,3.91,MZ,1633652164
211,orange cove,36.6244,-119.3137,81.77,33,1,3.44,US,1633652165
212,richards bay,-28.783,32.0377,67.14,83,100,17.45,ZA,1633652165
213,la palma,33.8464,-118.0467,73.81,76,90,3.0,US,1633652166
214,rio gallegos,-51.6226,-69.2181,46.45,57,0,6.91,AR,1633652166
215,cabo san lucas,22.8909,-109.9124,93.51,45,1,6.91,MX,1633652161
216,devils lake,48.1128,-98.8651,68.95,68,1,1.99,US,1633652167
217,leticia,-4.2153,-69.9406,78.85,94,75,2.3,CO,1633652168
218,clyde river,70.4692,-68.5914,29.84,86,100,3.06,CA,1633652168
219,takoradi,4.8845,-1.7554,77.02,89,70,4.9,GH,1633652169
220,swift current,50.2834,-107.8014,54.41,43,90,6.91,CA,1633652169
221,arraial do cabo,-22.9661,-42.0278,69.44,82,99,21.79,BR,1633652170
222,abashiri,44.0213,144.2697,58.95,77,20,6.91,JP,1633652170
223,lisakovsk,52.5369,62.4936,38.19,79,54,5.79,KZ,1633652171
224,lavrentiya,65.5833,-171.0,35.2,95,100,6.04,RU,1633652171
225,vvedenskoye,55.4753,65.0847,36.5,83,14,6.6,RU,1633652172
226,mporokoso,-9.3727,30.125,69.21,36,38,11.03,ZM,1633652172
227,airai,-8.9266,125.4092,74.8,31,28,3.51,TL,1633652173
228,abu samrah,35.3029,37.1841,65.19,26,0,4.68,SY,1633652174
229,bull savanna,17.8868,-77.5902,78.53,82,40,6.49,JM,1633652174
230,wanaka,-44.7,169.15,60.12,49,96,8.99,NZ,1633651936
231,ilulissat,69.2167,-51.1,24.82,58,6,3.44,GL,1633652175
232,alihe,50.5667,123.7167,40.82,59,5,2.04,CN,1633652175
233,plouzane,48.3833,-4.6167,57.52,94,20,3.44,FR,1633652055
234,zharkent,44.1628,80.0,32.09,46,0,7.11,KZ,1633652176
235,baykit,61.67,96.37,34.79,99,100,3.36,RU,1633652176
236,westport,41.1415,-73.3579,68.2,90,1,4.0,US,1633652177
237,santiago del estero,-27.7951,-64.2615,71.8,39,75,9.69,AR,1633652177
238,rawson,-43.3002,-65.1023,48.11,75,2,8.81,AR,1633652178
239,maniitsoq,65.4167,-52.9,34.93,63,3,4.72,GL,1633652178
240,banda aceh,5.5577,95.3222,79.39,77,98,13.71,ID,1633652178
241,sisimiut,66.9395,-53.6735,30.6,63,13,6.82,GL,1633652179
242,sri aman,1.2376,111.4621,77.05,94,20,0.0,MY,1633652179
243,togur,58.3631,82.8265,38.97,98,100,6.85,RU,1633652180
244,asilah,35.465,-6.0348,69.76,82,4,8.59,MA,1633652180
245,katsuura,35.1333,140.3,75.18,78,47,11.95,JP,1633652181
246,kaitangata,-46.2817,169.8464,59.36,62,20,8.79,NZ,1633652182
247,grants,35.1473,-107.8514,70.03,19,1,5.75,US,1633652182
248,haines junction,60.7522,-137.5108,42.75,61,96,2.3,CA,1633652183
249,chicama,-7.8447,-79.1469,59.54,83,98,8.68,PE,1633652183
250,nicoya,10.1483,-85.452,78.35,93,100,0.72,CR,1633652184
251,tambura,5.6,27.4667,68.58,98,92,1.34,SS,1633652184
252,scarborough,54.2797,-0.4044,63.09,88,86,1.01,GB,1633652121
253,slavsk,55.0425,21.677,40.14,64,7,6.08,RU,1633652185
254,douala,4.0483,9.7043,75.94,92,99,3.0,CM,1633652185
255,emba,48.8264,58.1442,36.46,45,0,5.86,KZ,1633652186
256,lappeenranta,61.0587,28.1887,50.81,87,90,6.91,FI,1633652077
257,aksarka,66.5606,67.7975,45.32,85,100,18.45,RU,1633652186
258,palu,-0.8917,119.8707,81.27,84,94,1.39,ID,1633652187
259,cabra,37.4725,-4.4421,67.89,56,3,3.13,ES,1633652187
260,limoges,45.75,1.3333,50.56,81,0,6.91,FR,1633652188
261,cukai,4.25,103.4167,77.14,88,95,3.15,MY,1633652188
262,chifeng,42.2683,118.9636,50.52,51,1,2.59,CN,1633652189
263,lensk,60.7253,114.9278,33.66,96,100,8.28,RU,1633652189
264,pemangkat,1.1667,108.9667,79.81,84,95,11.77,ID,1633652190
265,san diego,32.7153,-117.1573,72.61,78,90,5.75,US,1633652077
266,hamilton,39.1834,-84.5333,72.45,88,90,3.44,US,1633652190
267,suffolk,40.8668,-72.7996,66.9,89,1,0.0,US,1633652191
268,belaya gora,68.5333,146.4167,22.12,61,89,7.34,RU,1633652191
269,mehamn,71.0357,27.8492,39.94,69,95,30.96,NO,1633652192
270,dasoguz,41.8363,59.9666,44.55,36,0,11.5,TM,1633652192
271,bereda,43.2686,-7.5406,56.57,100,73,0.38,ES,1633652193
272,kodiak,57.79,-152.4072,51.31,66,1,4.61,US,1633652193
273,lashio,22.9333,97.75,66.51,99,22,1.28,MM,1633652194
274,zyryanka,65.75,150.85,25.21,62,47,10.2,RU,1633651938
275,arys,42.4252,68.795,50.22,49,85,9.75,KZ,1633652194
276,makakilo city,21.3469,-158.0858,86.32,48,40,14.97,US,1633652195
277,gravdal,68.1214,13.5031,40.71,65,93,14.47,NO,1633652195
278,deputatskiy,69.3,139.9,20.5,72,100,6.6,RU,1633652196
279,abnub,27.2696,31.1511,71.19,41,0,7.25,EG,1633652196
280,cayenne,4.9333,-52.3333,83.08,79,0,5.01,GF,1633652197
281,comodoro rivadavia,-45.8667,-67.5,48.06,76,0,10.36,AR,1633651988
282,havelock,34.8791,-76.9013,74.01,95,75,1.01,US,1633652197
283,tarko-sale,64.9225,77.785,42.3,89,100,15.59,RU,1633652198
284,ludvika,60.1496,15.1878,53.4,90,94,8.37,SE,1633652198
285,natal,-5.795,-35.2094,78.71,79,62,12.28,BR,1633652037
286,harrison,30.4091,-89.0436,77.07,85,1,0.0,US,1633652199
287,aksu,41.1231,80.2644,48.85,35,3,7.45,CN,1633652199
288,alenquer,-1.9417,-54.7383,84.54,53,46,2.66,BR,1633652200
289,kutum,14.2,24.6667,75.11,23,10,7.29,SD,1633652200
290,suntar,62.1444,117.6319,31.98,88,99,5.39,RU,1633651933
291,yulara,-25.2406,130.9889,76.84,36,0,13.8,AU,1633652201
292,komsomolskiy,40.4272,71.7189,51.22,81,92,2.3,UZ,1633652202
293,itarema,-2.9248,-39.9167,79.18,84,100,13.58,BR,1633652203
294,leningradskiy,69.3833,178.4167,25.84,94,100,0.94,RU,1633652203
295,bonthe,7.5264,-12.505,77.52,88,28,4.79,SL,1633652203
296,dudinka,69.4058,86.1778,33.67,99,89,10.6,RU,1633652204
297,zatoka,46.0725,30.4654,46.94,60,99,22.5,UA,1633652204
298,bambui,-20.0064,-45.9769,75.49,70,93,4.45,BR,1633652205
299,sisophon,13.5859,102.9737,75.02,90,100,3.8,KH,1633652205
300,quisqueya,18.5554,-69.4081,83.14,93,31,7.63,DO,1633652206
301,koson,39.0375,65.585,48.52,30,76,6.49,UZ,1633652206
302,saint-francois,46.4154,3.9054,46.67,95,0,2.3,FR,1633652206
303,tres arroyos,-38.3739,-60.2798,45.88,70,5,5.35,AR,1633652207
304,srednekolymsk,67.45,153.6833,21.0,72,48,3.2,RU,1633652207
305,basoko,1.2391,23.616,73.29,83,33,0.38,CD,1633652208
306,alofi,-19.0595,-169.9187,84.09,65,75,9.22,NU,1633652208
307,asau,46.4333,26.4,41.76,67,100,4.21,RO,1633652209
308,sao felix do xingu,-6.6447,-51.995,80.4,55,76,1.61,BR,1633652209
309,bardiyah,31.7561,25.0865,70.39,67,0,8.46,LY,1633652210
310,nishihara,26.1842,127.7558,83.48,74,75,11.5,JP,1633652210
311,castro,-24.7911,-50.0119,55.6,98,99,8.59,BR,1633652211
312,constitucion,-35.3333,-72.4167,50.32,86,0,4.72,CL,1633652211
313,aktas,49.7789,72.9608,35.35,81,97,5.14,KZ,1633652212
314,nioro,13.35,-15.75,75.11,94,82,8.19,GM,1633652212
315,islamkot,24.6997,70.177,83.84,64,67,7.31,PK,1633652213
316,shitanjing,39.2342,106.3439,50.11,75,98,8.57,CN,1633652213
317,shingu,33.7333,135.9833,79.79,70,96,1.59,JP,1633652214
318,luderitz,-26.6481,15.1594,55.87,79,2,5.68,NA,1633652214
319,genhe,50.7833,121.5167,37.13,60,15,2.53,CN,1633652215
320,klyuchi,52.2667,79.1667,36.77,91,99,10.2,RU,1633652215
321,lompoc,34.6391,-120.4579,66.78,77,90,8.05,US,1633651984
322,akdepe,42.0551,59.3788,44.69,28,99,9.64,TM,1633652216
323,kamenka,51.3223,42.7678,37.2,60,1,6.67,RU,1633652216
324,vesyegonsk,58.664,37.2604,37.49,78,0,6.13,RU,1633652217
325,kavieng,-2.5744,150.7967,83.53,69,54,4.54,PG,1633652217
326,perene,-10.9492,-75.2261,74.97,76,91,0.49,PE,1633652218
327,puri,19.8,85.85,84.38,78,65,9.31,IN,1633652218
328,ternate,0.8,127.4,82.8,76,97,5.77,ID,1633652219
329,naze,28.3667,129.4833,81.52,68,43,16.51,JP,1633652219
330,rocha,-34.4833,-54.3333,41.45,86,1,3.42,UY,1633652126
331,griffith,41.5284,-87.4237,70.0,93,1,0.0,US,1633652220
332,kautokeino,69.0125,23.0412,30.61,77,20,7.29,NO,1633652221
333,nargana,9.4428,-78.5906,81.81,83,68,5.01,PA,1633652221
334,sai buri,6.7013,101.6168,80.31,81,100,10.42,TH,1633652222
335,palembang,-2.9167,104.7458,77.09,94,40,2.3,ID,1633651951
336,saint george,37.1041,-113.5841,81.63,35,1,1.99,US,1633652198
337,felanitx,39.4696,3.1483,63.14,62,39,6.76,ES,1633652223
338,boyolangu,-8.1181,111.8935,76.93,75,29,3.6,ID,1633652224
339,sechura,-5.5569,-80.8222,66.87,77,12,16.69,PE,1633652224
340,sabang,5.8933,95.3214,82.17,76,100,21.07,ID,1633652225
341,khani,41.9563,42.9566,49.57,73,8,5.88,GE,1633652225
342,bubaque,11.2833,-15.8333,84.47,76,81,4.07,GW,1633652226
343,nemuro,43.3236,145.575,52.23,89,100,9.44,JP,1633652226
344,sidi ali,36.0998,0.4206,64.56,71,1,6.08,DZ,1633652227
345,evansville,37.9748,-87.5558,70.18,91,75,0.0,US,1633652210
346,llallagua,-18.4167,-66.6333,48.15,68,83,4.32,BO,1633652227
347,qinhuangdao,39.9317,119.5883,57.92,62,0,4.16,CN,1633652228
348,sao geraldo do araguaia,-6.4006,-48.555,85.06,39,10,4.05,BR,1633652228
349,faya,18.3851,42.4509,66.31,60,9,5.37,SA,1633652229
350,silvan,38.1419,41.0081,44.89,28,0,2.66,TR,1633652229
351,ossora,59.2353,163.0719,36.72,49,31,3.83,RU,1633652230
352,dandong,40.1292,124.3947,56.7,77,83,5.23,CN,1633651941
353,udachnyy,66.4167,112.4,20.98,89,72,4.54,RU,1633652231
354,carbondale,37.7273,-89.2168,72.03,83,75,0.0,US,1633652231
355,fonte boa,-2.4959,-66.2662,76.48,92,97,1.54,BR,1633652231
356,karatau,43.1667,70.4667,32.18,55,39,4.12,KZ,1633652232
357,aykhal,66.0,111.5,16.27,99,97,5.77,RU,1633652232
358,zhigansk,66.7697,123.3711,18.7,89,56,12.5,RU,1633652233
359,kalmunai,7.4167,81.8167,78.46,82,100,9.44,LK,1633652233
360,toora-khem,52.4675,96.11,27.37,90,100,1.77,RU,1633652234
361,fernley,39.608,-119.2518,72.57,43,99,9.89,US,1633652135
362,wewak,-3.5534,143.6268,83.82,71,66,9.4,PG,1633652234
363,dzilam gonzalez,21.2833,-88.9333,78.1,87,100,6.22,MX,1633652235
364,tondano,1.3038,124.9112,78.89,65,94,2.95,ID,1633652044
365,te anau,-45.4167,167.7167,56.21,67,95,5.28,NZ,1633652236
366,vestmannaeyjar,63.4427,-20.2734,50.67,97,100,24.25,IS,1633652236
